PACKETSTRANSMITTED,PACKETSRECEIVED,PACKETLOSS,TIME,RTTMEDIAN
100,99,1,99999,179
200,199,1,199999,126.5
300,299,1,299999,103.3
400,399,1,399999,89.42
500,499,1,499999,79.97
600,599,1,599999,73.01
700,699,1,699999,67.57
800,799,1,799999,63.22
900,899,1,899999,59.59
1000,999,1,999999,56.54
1500,1499,1,1499999,46.17
2000,1999,1,1999999,39.98
